time_s,theta_x_rad,theta_y_rad,theta_z_rad,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s,torque_x_Nm,torque_y_Nm,torque_z_Nm
81.7,-6.293748922133475e-05,-0.0001749140568223365,-1.9042439872240757e-06,-1.13887381614522e-05,5.275201110025284e-05,1.910935360500215e-06,7.369017208883268e-05,3.930242455462756e-05,-2.20061610500631e-06
81.80000000000001,-6.400323556978e-05,-0.00016961016635959675,-1.7160235455880807e-06,-1.0657463484452478e-05,5.303890462739753e-05,1.8822044163599503e-06,7.312746769997221e-05,3.442722325736354e-05,-2.298475531221169e-06
81.9,-6.499646440280052e-05,-0.00016428160062699625,-1.5307925914473974e-06,-9.932288330205188e-06,5.328565732600488e-05,1.8523095414068325e-06,7.251751542472896e-05,2.961032383288234e-05,-2.3915899962494358e-06
82.0,-6.591783148763838e-05,-0.00015893232325618777,-1.348661618568784e-06,-9.21367084837868e-06,5.349277370808478e-05,1.8213097287861357e-06,7.18617481826508e-05,2.485396584958724e-05,-2.4799850096557468e-06
82.10000000000001,-6.676803696558938e-05,-0.0001535662456260553,-1.1697352583935669e-06,-8.50205477951e-06,5.366077630132462e-05,1.78926360175217e-06,7.116160688686808e-05,2.016031118878066e-05,-2.563690162717244e-06
82.2,-6.75478239044089e-05,-0.0001481872251260077,-9.941123219643367e-07,-7.797869388195085e-06,5.379020500047624e-05,1.7562293642923016e-06,7.04185391314915e-05,1.5531443898195014e-05,-2.6427389967894865e-06
82.30000000000001,-6.82579768453285e-05,-0.0001427990634842102,-8.218858466238729e-07,-7.101529409195912e-06,5.388161641797502e-05,1.7222647534046373e-06,6.963399789991728e-05,1.0969370099853673e-05,-2.7171688710131335e-06
82.4,-6.889932034595344e-05,-0.00013740550516078652,-6.531431473202969e-07,-6.413435006249365e-06,5.393558323423684e-05,1.6874269930357602e-06,6.880944029465463e-05,6.476017951418127e-06,-2.7870208295101762e-06
82.5,-6.947271752028912e-05,-0.00013201023580597938,-4.879658723519899e-07,-5.73397174335675e-06,5.3952693548071466e-05,1.6517727496830691e-06,6.794632628926148e-05,2.053237660155555e-06,-2.852339468215283e-06
82.60000000000001,-6.997906857712185e-05,-0.00012661688078321502,-3.264300633855387e-07,-5.063510568327302e-06,5.393355022764347e-05,1.6153580896645123e-06,6.70461175029448e-05,-2.297198451359426e-06,-2.9131728014845463e-06
82.7,-7.041930935795622e-05,-0.0001212290037569746,-1.686062195798632e-07,-4.402407808343781e-06,5.387877026240418e-05,1.5782384380567549e-06,6.611027599835209e-05,-6.573595828714918e-06,-2.9695721286205935e-06
