time_s,theta_x_rad,theta_y_rad,theta_z_rad,omega_x_rad_s,omega_y_rad_s,omega_z_rad_s,torque_cmd_x_Nm,torque_cmd_y_Nm,torque_cmd_z_Nm,torque_applied_x_Nm,torque_applied_y_Nm,torque_applied_z_Nm,pointing_error_rad,torque_limited_sample,saturation_events_so_far,health_state
81.3,3.571166450137386e-05,-0.00029129653597711704,-5.9114268905212466e-05,-5.592189710012539e-05,2.7173702666567986e-05,1.4889881375035092e-05,0.0003163991,0.0001465938,-0.003545173,0.0003163991,0.0001465938,-0.003545173,0.00029937182840395035,0,2,OK
81.4,2.985439814736131e-05,-0.0002885908056446269,-5.885339539770895e-05,-6.046949850012539e-05,3.074739816656798e-05,-1.4293611249649078e-06,0.0011421681,0.0007850142,0.0001545482,0.0011421681,0.0007850142,0.0001545482,0.00029603996409470636,0,2,OK
81.5,2.3557696759348776e-05,-0.0002856144155988035,-5.856221319270545e-05,-6.244037590012538e-05,3.0341483416567982e-05,7.110728125035092e-06,0.0017233127,-0.0001972211,0.0005570596,0.0017233127,-0.0001972211,0.0005570596,0.0002925065679407547,0,2,OK
81.60000000000001,1.7786706800336238e-05,-0.00028215400947131334,-5.7715811342701945e-05,-5.858670470012538e-05,3.790340749990132e-05,8.797021250035091e-06,0.0010223249,-0.0001073826,0.0004541599,0.0010223249,-0.0001073826,0.0004541599,0.0002885452596707932,0,2,OK
81.7,1.2100242384323698e-05,-0.0002784035629038232,-5.716342363019844e-05,-5.630052360012538e-05,3.803099083323466e-05,1.3020605000350929e-06,-0.0008972466,-0.00036262,-0.0003429275,-0.0008972466,-0.00036262,-0.0003429275,0.0002844690083373371,0,2,OK
81.8,6.688102717311159e-06,-0.00027439728173133304,-5.7223178955194926e-05,-4.951040780012538e-05,3.711067516656799e-05,-2.937765624964907e-06,0.0010543298,-0.0025248822,-0.000487511,0.0010543298,-0.0025248822,-0.000487511,0.0002803802616969321,0,2,OK
81.9,1.2623745562986206e-06,-0.0002702352671596762,-5.722131162894141e-05,-5.845082140012537e-05,4.7415182916568e-05,2.2520697500350923e-06,-0.0010639848,0.0030261265,0.0007579029,-0.0010639848,0.0030261265,0.0007579029,0.0002762299254442183,0,2,OK
82.0,-4.803251788713915e-06,-0.0002654090025413528,-5.642079514393789e-05,-6.112087700012535e-05,4.554573449990134e-05,8.208345500035091e-06,5.85394e-05,-0.0005564974,9.2107e-06,5.85394e-05,-0.0005564974,9.2107e-06,0.0002713822322526215,0,2,OK
82.10000000000001,-1.079436790572645e-05,-0.00026032397630386265,-5.588730611018437e-05,-6.368330260012534e-05,5.270509191656802e-05,4.761877875035092e-06,-0.000652196,-0.0034499749,-0.0011294438,-0.000652196,-0.0034499749,-0.0011294438,0.00026647416760615215,0,2,OK
82.2,-1.7429309686738983e-05,-0.0002553222070988725,-5.5303163247680865e-05,-6.517345540012532e-05,5.364445158323469e-05,8.460567875035092e-06,0.0017422486,0.0033856203,0.0029371994,0.0017422486,0.0033856203,0.0029371994,0.0002618237004917535,0,2,OK
82.3,-2.3984202278751518e-05,-0.0002494194992597156,-5.424827885767736e-05,-6.647545610012534e-05,5.9316550833234696e-05,9.694393000035092e-06,0.0006482733,-0.0020877446,-0.0019285507,0.0006482733,-0.0020877446,-0.0019285507,0.00025637512423972743,0,2,OK
82.4,-3.011202298976406e-05,-0.0002433796802247255,-5.382887152392386e-05,-6.119836550012533e-05,5.887685583323472e-05,2.345801750035093e-06,-0.0008218875,-0.000802079,-0.0003514487,-0.0008218875,-0.000802079,-0.0003514487,0.00025107359495646857,0,2,OK
82.5,-3.609400333477659e-05,-0.00023784091870140205,-5.363660674142035e-05,-5.771506720012534e-05,5.7011822166568055e-05,2.522343875035092e-06,0.0011374644,0.0032976246,0.0013288344,0.0011374644,0.0032976246,0.0013288344,0.00024647102318161375,0,2,OK
82.60000000000001,-4.160047966278912e-05,-0.00023190747576057853,-5.3050218556416836e-05,-5.773349300012533e-05,6.0039930916568047e-05,9.369131125035093e-06,3.59198e-05,-0.0009508977,-0.0008341966,3.59198e-05,-0.0009508977,-0.0008341966,0.00024150776987645977,0,2,OK
82.7,-4.697598517380165e-05,-0.00022573340979142173,-5.196149981641333e-05,-5.309487030012532e-05,6.427510766656809e-05,9.198193750035092e-06,0.0004108941,0.0003796412,0.0008450057,0.0004108941,0.0003796412,0.0008450057,0.00023635209527796084,0,2,OK
82.8,-5.194721237981418e-05,-0.00021960705769726488,-5.1651766817659816e-05,-5.028709140012534e-05,5.709415908323478e-05,-1.5741368749649074e-06,0.0008631748,0.0002334981,-1.19272e-05,0.0008631748,0.0002334981,-1.19272e-05,0.00023150308352129837,0,2,OK
82.9,-5.654384440282672e-05,-0.00021353635219977475,-5.2030072247656305e-05,-4.3806763700125336e-05,6.126513374990144e-05,-2.8879979999649075e-06,0.0017526457,-0.0013594025,-0.0005617611,0.0017526457,-0.0013594025,-0.0005617611,0.0002269407598223238,0,2,OK
83.0,-6.0607523567839255e-05,-0.00020762761288061792,-5.23479745701528e-05,-3.692044520012533e-05,5.837903491656811e-05,-3.562409374964907e-06,0.0002592502,-0.0008017969,0.0002165912,0.0002592502,-0.0008017969,0.0002165912,0.00022253720584461216,0,2,OK
83.10000000000001,-6.44234080918518e-05,-0.00020161584657062777,-5.249902766264929e-05,-3.807886110012533e-05,6.069232416656811e-05,7.282466250350931e-07,0.0012593549,-0.0017258288,0.002048748,0.0012593549,-0.0017258288,0.002048748,0.00021807217384178985,0,2,OK
83.2,-6.839792533186436e-05,-0.00019525362901480432,-5.2048274776395776e-05,-4.124696780012533e-05,6.123018166656812e-05,7.043513375035095e-06,-0.0003021184,-0.0001543876,-0.0001877744,-0.0003021184,-0.0001543876,-0.0001877744,0.000213333726214008,0,2,OK
83.3,-7.281826817687688e-05,-0.0001894706370148142,-5.0651727688892264e-05,-4.1760085700125314e-05,5.443835366656812e-05,1.5681252125035094e-05,0.0013802489,-0.001686562,0.0001573274,0.0013802489,-0.001686562,0.0001573274,0.00020920616623070347,0,2,OK
83.4,-7.673228200888942e-05,-0.0001839338786023241,-4.827116087513876e-05,-3.7565508800125306e-05,5.486641941656811e-05,3.2502984125035094e-05,0.001262136,-0.0006804891,0.0018612868,0.001262136,-0.0006804891,0.0018612868,0.0002050600394328933,0,2,OK
83.5,-8.063003826490195e-05,-0.00017845971220233393,-4.519024202513525e-05,-3.9637089800125296e-05,5.5759408749901445e-05,2.697529050003509e-05,-0.0007194286,0.0022365533,0.0010062277,-0.0007194286,0.0022365533,0.0010062277,0.00020097569485942748,0,2,OK
83.60000000000001,-8.438620771491446e-05,-0.00017283322915901046,-4.2666383366381745e-05,-3.649337480012529e-05,5.708034883323477e-05,2.10241122500351e-05,0.0017113392,0.0003564532,-0.0011841271,0.0017113392,0.0003564532,-0.0011841271,0.000197009587136268,0,2,OK
83.7,-8.8058068258927e-05,-0.00016710509441068697,-4.0579128647628234e-05,-3.5014228300125285e-05,5.5052785999901444e-05,1.846374412503509e-05,0.0006846367,-0.0009723606,-0.0013855204,0.0006846367,-0.0009723606,-0.0013855204,0.000193196795121708,0,2,OK
83.8,-9.158317043293951e-05,-0.00016134766807986343,-3.928116838637473e-05,-3.664880870012528e-05,6.346382924990144e-05,6.360654375035095e-06,-0.0010576913,0.0013509741,-0.0018207024,-0.0010576913,0.0013509741,-0.0018207024,0.00018964060032376336,0,2,OK
83.9,-9.473423725195203e-05,-0.00015507964517653998,-3.845562887637122e-05,-2.914306450012528e-05,6.269761549990143e-05,8.5941275000351e-06,-0.0017088161,-0.0007821774,9.45827e-05,-0.0017088161,-0.0007821774,9.45827e-05,0.00018575012099072204,0,2,OK
